                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1286,                 3.6767,                 1.7219,                0.00641,                0.06219,                0.00344,                0.00139,                 2.5132,                 3.6555,                 1.4427,                  4e-05,                  4e-05,                  4e-05
                      2,                    2.8,                 3.5879,                 1.5852,                0.03256,                0.31592,                0.02316,                0.00955,                 2.0437,                  3.516,                 1.1971,               9.34e-05,               9.34e-05,               9.34e-05
                      3,                 2.4071,                 3.3468,                 1.3409,                0.04359,                0.42289,                0.03629,                  0.014,                 1.8965,                 3.3643,                  1.072,             0.00013888,             0.00013888,             0.00013888
                      4,                 2.0991,                 2.8604,                 1.1766,                0.02673,                0.25933,                0.05809,                0.01733,                 1.9399,                 3.2027,                 1.0486,             0.00017644,             0.00017644,             0.00017644
                      5,                 1.9216,                 2.2018,                 1.0635,                 0.0459,                0.44527,                0.17996,                0.07401,                 1.7297,                  2.996,                 0.9723,             0.00020608,             0.00020608,             0.00020608
                      6,                 1.7792,                 1.5539,                 1.0063,                0.67299,                0.64241,                0.67779,                0.31654,                 1.6601,                 2.6641,                0.93848,              0.0002278,              0.0002278,              0.0002278
                      7,                 1.5963,                 1.2725,                0.97722,                0.86829,                0.48378,                  0.707,                0.30727,                 1.6695,                 2.3503,                0.94779,              0.0002416,              0.0002416,              0.0002416
                      8,                 1.4973,                 1.1314,                0.96112,                0.90797,                0.44788,                0.76008,                0.31291,                   1.58,                 2.2531,                0.93057,             0.00024748,             0.00024748,             0.00024748
                      9,                 1.4763,                   1.08,                0.95786,                 0.9518,                0.36843,                0.81551,                 0.4087,                 1.4658,                 2.1193,                0.90955,             0.00024544,             0.00024544,             0.00024544
                     10,                 1.4325,                 1.0027,                0.93721,                0.96421,                0.35189,                0.82892,                0.44745,                 1.4317,                 2.0583,                0.90575,             0.00023548,             0.00023548,             0.00023548
                     11,                  1.373,                0.98726,                0.94158,                0.96948,                0.37537,                  0.863,                0.48308,                 1.3994,                  1.957,                0.90497,              0.0002176,              0.0002176,              0.0002176
                     12,                 1.4079,                      1,                0.94108,                0.97735,                0.40255,                0.88622,                0.48023,                 1.4026,                 1.9268,                0.90843,              0.0001918,              0.0001918,              0.0001918
                     13,                 1.4146,                0.97986,                0.95141,                0.97899,                0.49274,                0.91537,                0.51326,                 1.3676,                 1.8315,                0.90367,             0.00015808,             0.00015808,             0.00015808
                     14,                 1.3187,                0.92395,                 0.9331,                0.98032,                0.55748,                0.92685,                0.53522,                 1.3404,                 1.7743,                0.89922,             0.00011644,             0.00011644,             0.00011644
                     15,                 1.3593,                0.91605,                0.93171,                0.97976,                0.65174,                0.93804,                0.56147,                  1.308,                 1.6795,                0.89432,              6.688e-05,              6.688e-05,              6.688e-05
